GISJN_TCT,prcp,tmax,tmin
G13089021307,1420,22.262100456621003,10.450228310502283
G13089021308,1420.3333333333333,22.34794520547945,10.475799086757991
G13089021405,1402.6666666666667,22.45936073059361,10.529223744292237
G13089021409,1422.3333333333333,22.479908675799088,10.529223744292237
G13089021410,1431,22.44703196347032,10.520547945205479
G13089021411,1408.3333333333333,22.4,10.499086757990868
G13089021412,1414.6666666666667,22.34611872146119,10.481278538812784
G13089021413,1417,22.48538812785388,10.538356164383561
G13089021414,1408,22.56392694063927,10.570319634703196
G13089021415,1409,22.41552511415525,10.529680365296803
G13089021416,1416.6666666666667,22.447945205479453,10.530593607305937
G13089021417,1395.3333333333333,22.58219178082192,10.589954337899544
G13089021502,1405.3333333333333,22.520091324200916,10.584018264840182
G13089021503,1424,22.40639269406393,10.553881278538812
G13089021504,1428.3333333333333,22.39406392694064,10.571689497716894
G13089021602,1430,22.41689497716895,10.570319634703196
G13089021603,1432.6666666666667,22.378082191780823,10.538812785388128
G13089021604,1435.3333333333333,22.402283105022832,10.537899543378995
G13089021605,1430,22.458447488584476,10.526940639269407
G13089021703,1456.6666666666667,22.31689497716895,10.507762557077626
G13089021704,1458.3333333333333,22.262100456621006,10.508219178082191
G13089021705,1418,22.35662100456621,10.49041095890411
G13089021706,1434.3333333333333,22.39908675799087,10.508219178082191
G13089021805,1460.6666666666667,22.149771689497715,10.483561643835616
G13089021806,1443,22.16118721461187,10.49406392694064
G13089021808,1434.3333333333333,22.146575342465756,10.45890410958904
G13089021809,1462,22.103652968036528,10.463470319634704
G13089021810,1471.3333333333333,22.14703196347032,10.476712328767123
G13089021812,1408,22.305022831050227,10.479452054794521
G13089021813,1388.3333333333333,22.373972602739727,10.481735159817351
G13089021814,1414,22.21826484018265,10.470319634703197
G13089021906,1473.3333333333333,22.329680365296802,10.548858447488584
G13089021907,1457.3333333333333,22.461187214611872,10.572602739726028
G13089021908,1455.3333333333333,22.2986301369863,10.536986301369863
G13089021909,1442.3333333333333,22.368949771689497,10.562100456621005
G13089021910,1446,22.22009132420091,10.516894977168949
G13089021911,1449.3333333333333,22.226940639269408,10.517808219178082
G13089021912,1455.6666666666667,22.152968036529682,10.50365296803653
G13089021913,1407,22.263470319634703,10.522374429223744
G13089022001,1434.6666666666667,22.335616438356166,10.542465753424658
G13089022004,1440.6666666666667,22.240182648401827,10.520547945205479
G13089022005,1409,22.45205479452055,10.575799086757991
G13089022007,1437.3333333333333,22.309132420091323,10.544292237442923
G13089022008,1429.6666666666667,22.32420091324201,10.54840182648402
G13089022009,1441,22.305479452054794,10.528767123287672
G13089022010,1433.3333333333333,22.269406392694066,10.526940639269407
G13089022100,1446,22.38082191780822,10.56986301369863
G13089022203,1441.3333333333333,22.37488584474886,10.57351598173516
G13089022204,1432,22.43744292237443,10.573972602739726
G13089022301,1443.3333333333333,22.412328767123288,10.59406392694064
G13089022302,1442.3333333333333,22.357534246575344,10.55296803652968
G13089022401,1410.6666666666667,22.54200913242009,10.618721461187215
G13089022402,1437.3333333333333,22.412328767123288,10.587671232876712
G13089022403,1435,22.40319634703196,10.608675799086758
G13089022500,1453.3333333333333,22.342009132420092,10.587214611872145
G13089022600,1458.3333333333333,22.321461187214613,10.57488584474886
G13089022700,1460,22.26849315068493,10.585388127853882
G13089022800,1452.3333333333333,22.312785388127853,10.591324200913242
G13089022900,1454,22.325114155251143,10.590867579908677
G13089023000,1459.3333333333333,22.2675799086758,10.565753424657535
G13089023101,1410,22.47579908675799,10.644292237442922
G13089023102,1440,22.3662100456621,10.59269406392694
G13089023107,1427.3333333333333,22.44200913242009,10.619634703196347
G13089023108,1444.3333333333333,22.447488584474886,10.623744292237443
G13089023111,1432.6666666666667,22.505479452054793,10.60365296803653
G13089023112,1433.6666666666667,22.430593607305937,10.59634703196347
G13089023113,1452.3333333333333,22.295890410958904,10.56027397260274
G13089023114,1425.3333333333333,22.4986301369863,10.590867579908677
G13089023115,1429.6666666666667,22.37579908675799,10.57945205479452
G13089023204,1464,22.398173515981735,10.581278538812786
G13089023206,1447.3333333333333,22.617808219178084,10.64200913242009
G13089023208,1449,22.52648401826484,10.599086757990868
G13089023209,1486.6666666666667,22.331050228310502,10.56027397260274
G13089023210,1456.6666666666667,22.536986301369865,10.616438356164384
G13089023211,1467.6666666666667,22.65342465753425,10.65296803652968
G13089023212,1472,22.517351598173516,10.628767123287671
G13089023213,1435.3333333333333,22.719634703196345,10.682648401826484
G13089023214,1458,22.640182648401826,10.665296803652968
G13089023303,1570.3333333333333,22.589497716894975,10.602283105022831
G13089023306,1498.3333333333333,22.457077625570776,10.58310502283105
G13089023309,1474.6666666666667,22.664383561643834,10.645205479452054
G13089023310,1492.3333333333333,22.65068493150685,10.646118721461187
G13089023311,1454,22.67214611872146,10.622374429223745
G13089023312,1457.3333333333333,22.51095890410959,10.592237442922373
G13089023313,1495.3333333333333,22.59360730593607,10.622374429223745
G13089023314,1479,22.478538812785388,10.60365296803653
G13089023315,1498.6666666666667,22.80821917808219,10.651141552511415
