X,Y,GEOID10,TRACTID,GISJN_TCT,coord_query
-84.36509546286842,33.74208054544352,13121005000,13121005e3,G13121005000,"G13121005000.csv, 33.7420805454435, -84.3650954628684"
-84.21734505238443,34.03388220576421,13121011613,13121011613,G13121011613,"G13121011613.csv, 34.0338822057642, -84.2173450523844"
-84.24603146570652,34.037154466820574,13121011426,13121011426,G13121011426,"G13121011426.csv, 34.0371544668206, -84.2460314657065"
-84.21887646208194,34.07217254138347,13121011620,13121011620,G13121011620,"G13121011620.csv, 34.0721725413835, -84.2188764620819"
-84.3255170208408,34.02973386533969,13121011420,13121011420,G13121011420,"G13121011420.csv, 34.0297338653397, -84.3255170208408"
-84.312446091351,34.08196534946123,13121011610,13121011610,G13121011610,"G13121011610.csv, 34.0819653494612, -84.312446091351"
-84.26933342010608,34.09939164032794,13121011614,13121011614,G13121011614,"G13121011614.csv, 34.0993916403279, -84.2693334201061"
-84.25978770965573,34.05618829171598,13121011618,13121011618,G13121011618,"G13121011618.csv, 34.056188291716, -84.2597877096557"
-84.35744963570585,33.75900371574333,13121003000,13121003e3,G13121003000,"G13121003000.csv, 33.7590037157433, -84.3574496357058"
-84.42694813643223,33.674196101687954,13121011000,13121011e3,G13121011000,"G13121011000.csv, 33.674196101688, -84.4269481364322"
-84.36719525757964,33.76590238059724,13121001700,13121001700,G13121001700,"G13121001700.csv, 33.7659023805972, -84.3671952575796"
-84.36226339755231,33.77707851718806,13121001400,13121001400,G13121001400,"G13121001400.csv, 33.7770785171881, -84.3622633975523"
-84.39092863775588,34.04066428756362,13121011418,13121011418,G13121011418,"G13121011418.csv, 34.0406642875636, -84.3909286377559"
-84.4026295753366,33.75879581290872,13121002600,13121002600,G13121002600,"G13121002600.csv, 33.7587958129087, -84.4026295753366"
-84.24161071212946,34.01159834282756,13121011425,13121011425,G13121011425,"G13121011425.csv, 34.0115983428276, -84.2416107121295"
-84.38401579817511,34.01773670771831,13121011423,13121011423,G13121011423,"G13121011423.csv, 34.0177367077183, -84.3840157981751"
-84.44387630781641,33.81726427554209,13121008903,13121008903,G13121008903,"G13121008903.csv, 33.8172642755421, -84.4438763078164"
-84.39163967688751,33.78112527824867,13121001001,13121001001,G13121001001,"G13121001001.csv, 33.7811252782487, -84.3916396768875"
-84.40910756986547,33.74536195315489,13121004300,13121004300,G13121004300,"G13121004300.csv, 33.7453619531549, -84.4091075698655"
-84.4349343939179,33.82021797420367,13121008904,13121008904,G13121008904,"G13121008904.csv, 33.8202179742037, -84.4349343939179"
-84.4092063800681,33.66211135906064,13121010800,13121010800,G13121010800,"G13121010800.csv, 33.6621113590606, -84.4092063800681"
-84.42573760005894,33.65184738129809,13121980000,1312198e4,G13121980000,"G13121980000.csv, 33.6518473812981, -84.4257376000589"
-84.25731946410666,34.046009532574786,13121011617,13121011617,G13121011617,"G13121011617.csv, 34.0460095325748, -84.2573194641067"
-84.30927542318744,34.05595123606989,13121011611,13121011611,G13121011611,"G13121011611.csv, 34.0559512360699, -84.3092754231874"
-84.45389506076741,33.735932700692814,13121008101,13121008101,G13121008101,"G13121008101.csv, 33.7359327006928, -84.4538950607674"
-84.43908583021843,33.73796111639026,13121006000,13121006e3,G13121006000,"G13121006000.csv, 33.7379611163903, -84.4390858302184"
-84.27976831850185,33.966106150209136,13121010108,13121010108,G13121010108,"G13121010108.csv, 33.9661061502091, -84.2797683185019"
