GEOID10,TRACTID,GISJN_TCT,cty_fips,class_mm,class_mm_char,elev_m,develop_pct,prcp,tmax,tmin,totpop,white_nh,afam_nh,natam_nh,asian_nh,hisp,fb_pop,nonga_pop,ga_pop,cmute_car,cmute_carp,cmute_public,cmute_bike,cmute_walk,cmute_home,medinc,povpop_50pct,popop_99pct,inc_10K,inc_150K,inc_200K,tenure_own,tenure_rent,ind_ag,ind_const,ind_manuf,ind_wholetrd,ind_retltrd,ind_transp,ind_info,ind_finance,ind_prof,ind_ed,ind_arts,ind_public
13045910502,13045910502,G13045910502,13045,9,"Black, moderate diversity",313.3574529667149,53.22,1522.3333333333333,22.295890410958904,9.830593607305936,3339,19.9,45.3,0,0,33.4,22.6,16.4,61,74.7,15.3,0,1.3,4.7,0,24367,18.4,18.4,12.9,0,0,8.9,91.1,2.8,7.9,22.8,1.7,10.7,4.1,2.1,2.3,11.9,11.4,18.5,1.1
13045910800,13045910800,G13045910800,13045,2,"White, low diversity",263.80522996044084,1.15,1470.6666666666667,22.66118721461187,10.126027397260273,4188,90.6,2.9,0.1,0.2,5.6,1.1,18.5,78.2,88.5,7.6,0,0,1.2,1.8,52697,6.6,6.6,4.3,3.8,3.2,75.5,24.5,1.7,12.3,14,1.8,9,11.4,5,3.8,9.6,18,7.5,2.7
13045910103,13045910103,G13045910103,13045,8,"White, moderate diversity",338.6806280216361,4.16,1498,21.966666666666665,9.657990867579908,4824,73.4,15,0,1.1,4.5,4.2,30.1,63,88.6,9,0,0,0,2.4,55678,5.6,5.6,2.2,1.2,4.9,76.8,23.2,0,8.8,11.8,2,9.9,5.3,1.4,3.6,8.7,24.6,11.7,7.2
13045910104,13045910104,G13045910104,13045,8,"White, moderate diversity",338.45919817457616,12.47,1423.3333333333333,22.029680365296805,9.57716894977169,10068,68.1,21.6,0,0.3,7.6,1.7,32.9,64.6,73.4,22.5,0.9,0,0.2,2.2,57143,7.1,7.1,7,2.5,3.2,74.9,25.1,0.8,8.3,16.6,4.6,10.7,9,3.3,3.9,9.1,18.1,7.2,2.3
13045910600,13045910600,G13045910600,13045,8,"White, moderate diversity",322.1996793631489,9.23,1481.3333333333333,22.265753424657536,9.817351598173516,6391,65.7,20.1,0,1.4,8.4,2.7,21.3,75.5,88.4,8.8,0,0,0.6,1.1,53269,17.7,17.7,11.5,6.6,1.1,69.2,30.8,0.5,8.9,9.9,3.9,8.2,6.8,1.1,3,7.5,25.7,13.8,7.6
13045910501,13045910501,G13045910501,13045,8,"White, moderate diversity",313.4737586944085,18.51,1519.6666666666667,22.224657534246575,9.776712328767124,8615,43.8,38.4,0,2.8,13,7.9,26,65.9,73.1,13.5,1.9,0,6.8,4.7,35267,15.8,15.8,2.1,0.8,1.7,30.1,69.9,0,6.3,13,0.1,17.7,2.5,1.1,4.1,8,22.7,20.1,0.2
13045910701,13045910701,G13045910701,13045,8,"White, moderate diversity",338.3911923840833,8.35,1540.3333333333333,22.134246575342466,9.840639269406392,9360,70.1,15.5,0,2.1,10.7,6,26.1,67.3,87.2,4.9,0,0.6,0.8,1,44270,6.7,6.7,5.3,3.1,1.9,63.9,36.1,0.3,9.5,17.7,5.3,14,4.5,2.4,4.3,8.6,19.7,5.3,4.6
13045910703,13045910703,G13045910703,13045,8,"White, moderate diversity",333.6196146406411,13.66,1491.6666666666667,22.17808219178082,9.800913242009132,8743,72.6,19.7,0,1,3.2,2.6,28.5,68.9,83.4,13.1,0,0,0.2,1.2,42706,11.6,11.6,11.8,8.5,1.1,61.7,38.3,1,8.7,18.9,7.1,14.4,2.2,1.3,1.9,4.6,23.7,11.6,1.3
13045911100,13045911100,G13045911100,13045,8,"White, moderate diversity",312.20963153266547,10.85,1515,22.417351598173514,9.852054794520548,7217,78.6,15.7,0,0.7,1.6,2.8,20.5,76.2,89.7,6.8,0.3,0,1,2.2,45309,9,9,4.7,4.8,4,54.4,45.6,0,4.2,14.7,1.8,16.4,7.8,0.4,8.4,5.6,23,11.5,1
13045911000,13045911e3,G13045911000,13045,8,"White, moderate diversity",326.7728413258234,10.48,1560.6666666666667,22.328767123287673,9.88082191780822,6083,65.9,16.4,4,0,12.4,5.6,30.3,62.7,79.2,15.7,0,0,0,2,47575,6.5,6.5,3.6,7.9,4.7,59.3,40.7,1.8,10.3,18.7,1.8,6.1,7.1,0.3,10.3,5.9,15.9,13.2,4.6
13045910900,13045910900,G13045910900,13045,2,"White, low diversity",310.8439724047665,1.74,1573.6666666666667,22.293150684931508,9.75296803652968,4064,90.5,5.5,0,0,3.2,0.8,20.3,78.9,78.7,12.3,0.5,0,0,6,56883,4.8,4.8,2.7,7,5.5,81,19,1.6,8.3,12.7,3.1,12.6,11,2.6,3.4,7.3,22.4,3.5,5.1
13045910300,13045910300,G13045910300,13045,2,"White, low diversity",353.003230084189,3.41,1483,21.924657534246574,9.548401826484017,5978,80,12.6,0.6,1,5,3.3,24.2,70.5,78.4,18.3,0,0,1.6,0.3,45111,4.1,4.1,0.8,1.2,1.7,72.3,27.7,0.8,8.1,27.7,3.8,9.3,7.7,0.9,2.9,7.9,14.4,5.5,6.5
